subject.id,institution,equipment,acclimation,diet,subject.mass,vo2,vco2,ee,rer,room.temp,total_mass,lean_mass,fat_mass,phase
D9,UC Davis,Columbus,TRUE,HF,45.23,151.8903018,115.0935793,0.725893178,0.75659037,22,44.66,24.487076,17.702924,3
M1,UMass,TSE,FALSE,LF,21.5,98.05882353,91.23529412,0.487356059,0.931424589,21.1,24.75,21.71,1.805,3
M1,UMass,TSE,TRUE,HF,21.5,103.2666667,97.6,0.514919533,0.944146208,21.1,24.75,21.71,1.805,3
M1,UMass,TSE,TRUE,LF,21.5,96.12903226,88.98387097,0.477260677,0.920866225,21.1,24.75,21.71,1.805,3
M10,UMass,TSE,FALSE,HF,22.6,117.9411765,91.17647059,0.565647353,0.773111625,21.1,33.65,22.265,10.585,3
M10,UMass,TSE,TRUE,HF,22.6,109.3896104,84.11688312,0.524137727,0.768111868,21.1,33.65,22.265,10.585,3
M11,UMass,TSE,FALSE,HF,23.9,135.3529412,105.7058824,0.650336647,0.780873473,21.1,41.6,23.895,17.02,3
M11,UMass,TSE,TRUE,HF,23.9,124.8051948,98.09090909,0.600345818,0.784591251,21.1,41.6,23.895,17.02,3
M12,UMass,TSE,FALSE,HF,20.7,118.1176471,95.17647059,0.570766824,0.805709616,21.1,28.35,20.815,6.415,3
M12,UMass,TSE,TRUE,HF,20.7,114.0909091,90.58441558,0.549818636,0.793123791,21.1,28.35,20.815,6.415,3
M13,UMass,TSE,FALSE,HF,20.7,117.6470588,93.47058824,0.567025529,0.79541168,21.1,29.2,20.79,7.54,3
M13,UMass,TSE,TRUE,HF,20.7,115.8701299,90.55844156,0.556801818,0.781501183,21.1,29.2,20.79,7.54,3
M2,UMass,TSE,FALSE,LF,24.7,109.9411765,95,0.538348176,0.861900252,21.1,29.05,24.375,3.2,3
M2,UMass,TSE,TRUE,LF,24.7,105.4935065,97.45454545,0.523534636,0.919767361,21.1,29.05,24.375,3.2,3
M3,UMass,TSE,FALSE,LF,22.8,105.1764706,93.58823529,0.518009059,0.895738444,21.1,26.55,22.39,3,3
M3,UMass,TSE,TRUE,LF,22.8,101.2077922,93.31168831,0.502062636,0.91686351,21.1,26.55,22.39,3,3
M4,UMass,TSE,FALSE,LF,22.9,109.9411765,98.05882353,0.541731235,0.891153822,21.1,27.3,22.925,3.155,3
M4,UMass,TSE,TRUE,LF,22.9,104.974026,98.46753247,0.522607727,0.93669262,21.1,27.3,22.925,3.155,3
M5,UMass,TSE,FALSE,LF,23.3,107.8823529,94.70588235,0.529909059,0.874919919,21.1,27.05,23.2,2.78,3
M5,UMass,TSE,TRUE,LF,23.3,109.3246753,103,0.544766545,0.942590151,21.1,27.05,23.2,2.78,3
M6,UMass,TSE,FALSE,LF,23.6,106.8823529,95.29411765,0.526618647,0.889409321,21.1,26.85,23.57,2.01,3
M6,UMass,TSE,TRUE,LF,23.6,107.025974,100.5194805,0.532963909,0.935341059,21.1,26.85,23.57,2.01,3
M7,UMass,TSE,FALSE,HF,23.7,118.8823529,94.41176471,0.572934765,0.793674837,21.1,35.3,23.395,10.9,3
M7,UMass,TSE,TRUE,HF,23.7,113.1558442,89,0.544381182,0.785138583,21.1,35.3,23.395,10.9,3
M8,UMass,TSE,FALSE,HF,23.2,124.6470588,98.17647059,0.599817235,0.787172387,21.1,30.9,22.91,6.81,3
M8,UMass,TSE,TRUE,HF,23.2,118.7532468,92.49350649,0.570304364,0.777448801,21.1,30.9,22.91,6.81,3
V1,Vanderbilt,Sable,FALSE,LF,27.49093868,102.1597121,93.47604932,0.505995936,0.915038757,24.1,27.765,18.75865,3.438405,3
V1,Vanderbilt,Sable,TRUE,LF,28.1404673,94.12316651,88.2955211,0.468594246,0.930428223,24.1,27.765,18.75865,3.438405,3
V10,Vanderbilt,Sable,FALSE,HF,35.53017917,112.7284126,88.08837265,0.541688414,0.782212682,24.1,30.65,18.3412,10.85135,3
V10,Vanderbilt,Sable,TRUE,HF,35.02170428,95.9614672,77.49146752,0.463889705,0.807720797,24.1,30.65,18.3412,10.85135,3
V11,Vanderbilt,Sable,FALSE,HF,36.36550804,106.4464591,83.14234082,0.511460924,0.783933084,24.1,31.95,18.6417,11.4288,3
V11,Vanderbilt,Sable,TRUE,HF,35.76993282,97.11447238,78.50345748,0.46955296,0.810626506,24.1,31.95,18.6417,11.4288,3
V12,Vanderbilt,Sable,FALSE,HF,36.97241029,106.2398259,83.80571347,0.511380273,0.791057713,24.1,30.9,18.696,11.4203,3
V12,Vanderbilt,Sable,TRUE,HF,35.9383121,96.37117629,76.78929973,0.464727771,0.798349403,24.1,30.9,18.696,11.4203,3
V13,Vanderbilt,Sable,FALSE,HF,30.89132779,103.0055059,81.06478868,0.495602355,0.785845161,24.1,29.15,18.4233,6.51846,3
V13,Vanderbilt,Sable,TRUE,HF,30.18167361,89.79506338,70.7820524,0.432167295,0.786734095,24.1,29.15,18.4233,6.51846,3
V14,Vanderbilt,Sable,FALSE,HF,30.74847588,106.7476438,86.22524882,0.51605759,0.808066435,24.1,30.1,17.5776,7.03663,3
V14,Vanderbilt,Sable,TRUE,HF,30.81501035,96.60250526,77.90322127,0.466871436,0.80668948,24.1,30.1,17.5776,7.03663,3
