"","Ptt","RDate","Period","T2460","T2224","T2022","T1820","T1618","T1416","T1214","T1012","T810","T68","T46","T04","Species"
"703",108421,"5/7/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"704",108421,"5/7/13 23:00",23,99.6,0.4,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"705",108421,"5/7/13 5:00",5,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"706",108421,"5/8/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"707",108421,"5/8/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"708",108421,"5/8/13 23:00",23,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"709",108421,"5/8/13 5:00",5,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"710",108421,"5/9/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"711",108421,"5/9/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"712",108421,"5/9/13 23:00",23,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"713",108421,"5/9/13 5:00",5,100,0,0,0,0,0,0,0,0,0,0,0,"Rough-toothed dolphin"
"714",108424,"5/1/13 15:00",15,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"715",108424,"5/1/13 9:00",9,9.7,11.3,10.6,7.8,10.7,0.6,8.7,10.7,8.1,11.3,8,2.5,"Melon-headed whale"
"716",108424,"5/2/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"717",108424,"5/2/13 23:00",23,48.1,18.5,26.2,7.2,0,0,0,0,0,0,0,0,"Melon-headed whale"
"718",108424,"5/3/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"719",108424,"5/3/13 23:00",23,59.6,18.8,19.4,2.2,0,0,0,0,0,0,0,0,"Melon-headed whale"
"720",108424,"5/3/13 5:00",5,40.5,19.4,18.9,20.7,0.6,0,0,0,0,0,0,0,"Melon-headed whale"
"721",108424,"5/4/13 11:00",11,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"722",108424,"5/4/13 23:00",23,46.2,18.7,25.3,9.8,0,0,0,0,0,0,0,0,"Melon-headed whale"
"723",108424,"5/6/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"724",108424,"5/6/13 5:00",5,37.3,20.1,25.3,17.3,0,0,0,0,0,0,0,0,"Melon-headed whale"
"725",108424,"5/7/13 17:00",17,100,0,0,0,0,0,0,0,0,0,0,0,"Melon-headed whale"
"726",108424,"5/7/13 5:00",5,44.7,17.9,20.7,16.6,0,0,0,0,0,0,0,0,"Melon-headed whale"
"727",108425,"6/16/11 19:00",19,24,3.1,3.8,3.6,4,4.9,5.6,41.5,2.5,2.9,4,0,"Sperm whale"
"728",108425,"6/16/11 23:00",23,56.8,1.6,1.6,1.9,2.8,2.6,3.9,19,3.7,1.6,4.4,0,"Sperm whale"
"729",108425,"6/25/11 11:00",11,19.4,2.5,2.9,2.8,2.9,3.5,4.3,29.4,32.2,0,0,0,"Sperm whale"
"730",108425,"6/25/11 17:00",17,24.8,2.6,3.2,3.2,3.3,3.6,4.4,22.2,18.4,14.1,0,0,"Sperm whale"
