"","Ptt","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Species"
"5929",108419,NA,"6/21/11 0:00","9:22:30","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
"5930",108419,NA,"6/21/11 0:00","9:25:00","3",25.88800049,-77.25201416,25,4,"Blainville's beaked whale"
"5931",108419,NA,"6/21/11 0:00","9:27:30","3",25.88800049,-77.25201416,2,0.5,"Blainville's beaked whale"
"5932",108419,NA,"6/21/11 0:00","9:30:00","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
"5933",108419,NA,"6/21/11 0:00","9:32:30","3",25.88800049,-77.25201416,17,4,"Blainville's beaked whale"
"5934",108419,NA,"6/21/11 0:00","9:35:00","3",25.88800049,-77.25201416,17,4,"Blainville's beaked whale"
"5935",108419,NA,"6/21/11 0:00","9:37:30","3",25.88800049,-77.25201416,13,3,"Blainville's beaked whale"
"5936",108419,NA,"6/21/11 0:00","9:40:00","3",25.88800049,-77.25201416,2,0.5,"Blainville's beaked whale"
"5937",108419,NA,"6/21/11 0:00","9:42:30","3",25.88800049,-77.25201416,25,4,"Blainville's beaked whale"
"5938",108419,NA,"6/21/11 0:00","9:45:00","3",25.88800049,-77.25201416,46,9.5,"Blainville's beaked whale"
"5939",108419,NA,"6/21/11 0:00","9:47:30","3",25.88800049,-77.25201416,2,0.5,"Blainville's beaked whale"
"5940",108419,NA,"6/21/11 0:00","9:50:00","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
"5941",108419,NA,"6/21/11 0:00","9:52:30","3",25.88800049,-77.25201416,13,3,"Blainville's beaked whale"
"5942",108419,NA,"6/21/11 0:00","9:55:00","3",25.88800049,-77.25201416,11,2.5,"Blainville's beaked whale"
"5943",108419,NA,"6/21/11 0:00","9:57:30","3",25.88800049,-77.25201416,2,0.5,"Blainville's beaked whale"
"5944",108419,NA,"6/21/11 0:00","10:00:00","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5945",108419,NA,"6/21/11 0:00","10:02:30","3",25.88800049,-77.25201416,31,13.5,"Blainville's beaked whale"
"5946",108419,NA,"6/21/11 0:00","10:05:00","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5947",108419,NA,"6/21/11 0:00","10:07:30","3",25.88800049,-77.25201416,22,5,"Blainville's beaked whale"
"5948",108419,NA,"6/21/11 0:00","10:10:00","3",25.88800049,-77.25201416,259,62.5,"Blainville's beaked whale"
"5949",108419,NA,"6/21/11 0:00","10:12:30","3",25.88800049,-77.25201416,588,125,"Blainville's beaked whale"
"5950",108419,NA,"6/21/11 0:00","10:15:00","3",25.88800049,-77.25201416,713,143,"Blainville's beaked whale"
"5951",108419,NA,"6/21/11 0:00","10:17:30","3",25.88800049,-77.25201416,713,143,"Blainville's beaked whale"
